日付,コ_ド,_柄名,市_·商品区分,33__コ_ド,33__区分,17__コ_ド,17__区分,_模コ_ド,_模区分
20220729,6172,メタップス,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6173,アクアライン,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6174,デンタス,PRO Market,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6175,ネットマ_ケティング,スタンダ_ド（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6176,ブランジスタ,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6177,ＡｐｐＢａｎｋ,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6178,日本_政,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,2,TOPIX Large70
20220729,6180,ＧＭＯメディア,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6181,タメニ_,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6182,メタリアル,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6183,ベルシステム２４ホ_ルディングス,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6184,__新_,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6185,ＳＭＮ,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6186,一_,スタンダ_ド（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6188,富士ソフトサ_ビスビュ_ロ,スタンダ_ド（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6189,グロ_バルキッズＣＯＭＰＡＮＹ,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6190,フェニックスバイオ,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6191,エアトリ,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6192,ハイアス·アンド·カンパニ_,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6193,バ_チャレクス·ホ_ルディングス,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6194,アトラエ,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6195,ホ_プ,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6196,ストライク,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6197,ソラスト,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6198,キャリア,グロ_ス（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,-,-
20220729,6199,セラク,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,7,TOPIX Small 2
20220729,6200,インソ_ス,プライム（内国株式）,9050,サ_ビス_,10,情_通信·サ_ビスその他 ,6,TOPIX Small 1
20220729,6201,_田自___,プライム（内国株式）,3700,_送用_器,6,自__·_送_ ,4,TOPIX Mid400
20220729,6203,_和工_,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6205,ニデックオ_ケ_ケ_,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6208,石川_作所,スタンダ_ド（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
20220729,6210,_洋_械金属,プライム（内国株式）,3600,_械,8,_械 ,7,TOPIX Small 2
